"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"3-1","1","1","1","1","1","1","1","20260209","20260906"
"3-10","1","1","1","1","1","0","0","20260209","20260324"
"3-100","0","0","1","0","0","0","0","20260211","20260610"
"3-101","0","0","0","1","0","0","0","20260212","20260611"
"3-102","0","0","0","0","1","0","0","20260213","20260612"
"3-108","0","0","0","0","0","0","1","20260215","20260607"
"3-11","1","1","1","1","1","0","0","20260209","20270210"
"3-110","0","0","0","0","0","1","0","20260214","20261226"
"3-111","0","0","0","0","0","0","1","20260215","20261227"
"3-112","0","0","0","0","0","1","0","20260214","20261219"
"3-116","0","0","0","0","1","1","0","20260213","20270206"
"3-117","0","0","0","0","0","1","0","20260214","20270206"
"3-118","0","1","1","1","1","0","0","20260602","20260930"
"3-119","0","0","0","0","0","1","0","20260606","20260926"
"3-12","0","0","0","0","1","0","0","20260213","20270205"
"3-120","0","0","0","0","0","0","1","20260607","20260927"
"3-122","1","1","1","1","1","0","0","20260209","20270210"
"3-123","0","0","0","0","0","0","1","20260215","20270207"
"3-125","0","0","0","0","1","0","1","20260213","20270207"
"3-126","1","1","1","1","1","1","1","20260401","20261031"
"3-127","1","0","0","0","0","1","1","20260209","20270208"
"3-128","0","0","0","0","1","1","1","20260213","20270207"
"3-129","0","0","0","0","0","0","1","20260405","20261025"
"3-13","1","1","1","1","0","0","0","20260209","20270210"
"3-131","1","0","1","1","0","1","1","20260209","20270210"
"3-132","0","0","1","1","0","1","1","20260211","20270210"
"3-133","1","1","0","0","1","0","0","20260209","20270209"
"3-134","1","0","0","0","0","0","0","20260209","20270208"
"3-135","0","1","0","0","0","0","0","20260210","20270209"
"3-136","0","0","0","0","0","0","1","20260215","20270207"
"3-137","0","0","0","0","1","0","0","20260213","20270205"
"3-138","0","0","0","0","1","0","0","20260213","20270205"
"3-139","1","0","0","0","0","0","0","20260209","20270208"
"3-14","0","0","0","0","0","1","0","20260214","20270206"
"3-140","0","0","0","1","0","0","0","20260212","20270204"
"3-141","0","1","0","0","0","0","0","20260210","20270209"
"3-142","0","0","1","0","0","0","0","20260211","20270210"
"3-143","1","1","1","1","0","0","0","20260209","20260212"
"3-144","0","0","0","0","1","0","0","20260213","20260213"
"3-145","0","0","0","0","0","1","0","20260214","20260214"
"3-146","1","1","1","1","1","0","0","20260209","20270201"
"3-147","1","1","1","1","1","1","1","20260209","20270131"
"3-15","1","1","1","1","1","1","1","20260209","20270210"
"3-150","1","1","1","1","1","0","0","20260223","20270210"
"3-151","0","0","0","0","0","1","0","20260228","20270206"
"3-152","0","0","0","0","0","0","1","20260222","20270207"
"3-155","0","0","0","0","0","0","1","20260215","20260215"
"3-156","1","0","0","0","0","0","0","20260209","20260316"
"3-157","0","0","1","0","0","0","0","20260211","20260318"
"3-158","0","0","0","1","0","0","0","20260212","20260319"
"3-159","0","1","0","0","0","0","0","20260210","20260310"
"3-16","1","1","1","1","1","1","0","20260209","20270210"
"3-160","0","0","0","0","1","0","0","20260213","20260320"
"3-161","0","0","0","0","0","1","0","20260228","20260725"
"3-162","1","0","0","0","0","0","0","20260323","20260727"
"3-163","0","0","0","0","0","1","0","20260214","20260314"
"3-164","0","0","1","0","0","0","0","20260325","20260729"
"3-165","0","1","0","0","0","0","0","20260324","20260728"
"3-166","0","0","0","0","1","0","0","20260327","20260724"
"3-167","0","0","0","1","0","0","0","20260326","20260730"
"3-168","0","0","0","0","0","0","1","20260215","20260726"
"3-169","1","1","1","1","0","0","0","20260216","20260514"
"3-17","0","0","0","0","0","0","1","20260215","20270207"
"3-170","0","0","0","0","1","0","0","20260220","20260515"
"3-171","0","0","0","0","0","1","0","20260221","20260516"
"3-172","0","0","0","0","0","0","1","20260215","20260510"
"3-18","1","1","1","1","1","1","1","20260209","20260314"
"3-19","0","1","0","0","1","0","0","20260210","20261020"
"3-2","0","0","0","0","0","0","1","20260215","20260830"
"3-20","0","0","0","0","1","1","1","20260213","20261018"
"3-202","0","0","0","0","0","1","0","20260221","20260221"
"3-203","0","0","0","0","0","0","1","20260222","20260222"
"3-21","0","1","0","1","0","0","0","20260210","20261020"
"3-215","0","0","0","0","1","0","0","20260213","20261211"
"3-22","1","1","1","1","1","1","1","20260209","20261020"
"3-23","1","1","1","1","1","1","1","20260209","20260503"
"3-237","0","1","1","1","1","0","0","20260210","20260213"
"3-24","1","1","1","1","1","0","0","20260209","20260501"
"3-241","0","0","0","0","0","1","0","20260214","20261212"
"3-242","0","0","0","0","0","0","1","20260215","20261206"
"3-248","1","1","1","1","0","0","0","20260216","20260219"
"3-25","1","1","1","1","1","0","0","20260209","20270210"
"3-26","1","1","1","1","1","1","1","20260301","20270210"
"3-27","0","0","0","0","0","0","1","20260215","20270207"
"3-275","0","0","0","0","1","0","0","20260501","20260925"
"3-276","1","0","0","0","0","0","0","20260511","20260928"
"3-277","0","0","0","0","0","1","0","20260502","20260926"
"3-279","0","0","0","1","0","0","0","20260507","20260924"
"3-28","0","0","0","0","1","0","0","20260213","20270205"
"3-280","0","1","0","0","0","0","0","20260505","20260929"
"3-281","0","0","1","0","0","0","0","20260506","20260930"
"3-282","0","0","0","0","1","0","0","20260213","20270205"
"3-283","1","0","0","0","0","0","0","20260209","20270208"
"3-284","0","0","0","0","0","1","0","20260214","20270206"
"3-285","0","0","0","0","0","0","1","20260215","20270207"
"3-286","0","0","0","1","0","0","0","20260212","20270204"
"3-287","0","1","0","0","0","0","0","20260210","20270209"
"3-288","0","0","1","0","0","0","0","20260211","20270210"
"3-289","0","0","0","0","0","0","1","20260215","20270207"
"3-29","1","1","1","1","1","0","0","20260209","20270210"
"3-291","0","0","0","0","1","0","0","20260403","20260925"
"3-292","1","0","0","0","0","0","0","20260413","20260928"
"3-293","0","0","0","0","0","1","0","20260404","20260926"
"3-294","0","0","0","0","0","0","1","20260405","20260927"
"3-295","0","0","0","1","0","0","0","20260402","20260924"
"3-296","0","1","0","0","0","0","0","20260407","20260929"
"3-297","0","0","1","0","0","0","0","20260401","20260930"
"3-3","1","0","0","0","1","0","0","20260209","20260831"
"3-30","1","1","1","1","0","0","0","20260209","20270210"
"3-301","0","0","0","0","0","0","1","20260215","20270207"
"3-302","0","0","0","1","0","0","0","20260212","20270204"
"3-306","1","1","1","1","1","0","0","20260210","20270210"
"3-307","1","1","1","1","1","0","0","20260210","20270210"
"3-308","1","1","1","1","1","1","1","20260210","20270210"
"3-309","1","1","1","1","1","0","0","20260210","20270210"
"3-311","1","1","1","1","1","0","0","20260210","20261211"
"3-312","1","1","1","1","1","0","0","20260210","20261211"
"3-313","0","0","0","0","0","1","0","20260214","20261212"
"3-315","0","0","0","0","0","0","1","20260215","20261206"
"3-317","1","1","1","1","1","0","0","20260211","20261211"
"3-318","0","0","0","0","0","1","0","20260228","20261212"
"3-32","1","0","0","0","0","0","0","20260209","20270208"
"3-320","1","1","1","1","1","0","0","20260210","20261211"
"3-321","1","1","1","1","1","0","0","20260210","20261211"
"3-323","1","1","1","1","1","0","0","20260210","20261211"
"3-325","1","1","1","1","1","0","0","20260210","20261211"
"3-326","1","1","1","1","1","0","0","20260210","20261211"
"3-327","0","0","0","0","0","1","0","20260228","20261212"
"3-328","1","1","1","1","1","0","0","20260210","20261211"
"3-329","1","1","1","1","1","0","0","20260210","20261211"
"3-33","1","1","1","1","1","0","0","20260209","20270210"
"3-330","0","0","0","0","0","1","0","20260214","20261212"
"3-331","0","0","0","0","0","0","1","20260215","20261206"
"3-332","1","1","1","1","1","0","0","20260210","20261211"
"3-333","1","1","1","1","1","1","0","20260210","20261212"
"3-334","1","1","1","1","1","1","0","20260210","20261212"
"3-335","1","1","1","1","1","1","0","20260210","20261212"
"3-336","1","1","1","1","0","1","0","20260210","20261212"
"3-337","1","1","1","1","1","1","0","20260210","20261212"
"3-34","0","0","0","0","1","0","0","20260213","20270205"
"3-340","1","1","1","1","0","0","0","20260210","20261210"
"3-341","1","1","1","1","0","0","0","20260210","20261210"
"3-342","1","1","1","1","1","1","0","20260210","20261212"
"3-343","1","1","1","1","1","1","0","20260213","20261212"
"3-344","0","1","1","1","0","0","0","20260210","20260212"
"3-345","1","1","1","1","1","1","0","20260210","20261212"
"3-346","1","1","1","1","1","1","0","20260210","20261212"
"3-347","0","0","0","0","0","0","1","20260215","20261206"
"3-348","0","0","0","0","0","1","0","20260214","20261212"
"3-349","1","1","1","1","1","0","0","20260220","20261211"
"3-35","0","0","0","0","0","1","1","20260214","20270207"
"3-350","0","0","0","0","0","1","0","20260221","20261212"
"3-351","0","1","1","1","1","1","0","20260210","20260214"
"3-352","0","0","0","0","0","0","1","20260222","20261206"
"3-353","0","0","0","0","0","0","1","20260222","20261206"
"3-354","1","0","0","0","0","0","0","20260216","20261207"
"3-355","0","1","1","1","1","0","0","20260210","20261211"
"3-356a92b2f0d531ae7867","1","0","0","0","0","0","0","20260216","20260727"
"3-36","0","0","0","0","0","0","1","20260215","20270207"
"3-361","1","1","1","1","1","1","0","20260213","20261212"
"3-362","0","0","0","0","1","1","0","20260213","20261212"
"3-363","0","0","0","0","1","0","0","20260213","20261211"
