"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"3-3511_51301","3-7778082","Iw07","Gorey, Main Street - Carlow, Carlow College","","3","","","","","",""
"3-3579_53763","3-7778256","Si03","Belmullet - Sligo","","3","","","","","",""
"3-3579_53764","3-7778256","Ng11","Belmullet - Galway","","3","","","","","",""
"3-3592_37748","3-7778099","Ky03","Killarney, Gleneagle Hotel - Killarney, Gleneagle Hotel","","3","","","","","",""
"3-3826_51300","3-7778193","Um11","Gorey - Wicklow - Maynooth","","3","","","","","",""
"3-3863_49809","3-7778348","Ai05","Edenderry - Athlone","","3","","","","","",""
"3-4194_46238","3-7778230","164","Sydney Parade Dart Station - Ucd","","3","","","","","",""
"3-4389_83262","3-7778260","Dk07","Monaghan - Dundalk Institute of Technology","","3","","","","","",""
"3-4390_77356","3-7778227","930","Swanlinbar - Cavan","","3","","","","","",""
"3-4409_84786","3-7778266","Vi04","Cross Keys - Cavan","","3","","","","","",""
"3-4410_83419","3-7778060","Iw08","Mountmellick - Carlow","","3","","","","","",""
"3-4442_85798","3-7778309","525","Galway City - Rossaveel","","3","","","","","",""
"3-4465_46239","3-7778100","Kl03","Santry - Keelings Retail Uc","","3","","","","","",""
"3-4506_41295","3-7778371","809","Galway City - Glásan Student Village","","3","","","","","",""
"3-4540_91935","3-7778247","Wi05","Clonmel/ Limerick - Waterford","","3","","","","","",""
"3-4551_56125","3-7778032","947","Rossport - Belmullet","","3","","","","","",""
"3-4551_91958","3-7778032","945","Rossport - Belmullet","","3","","","","","",""
"3-4551_92138","3-7778032","946","Rossport - Belmullet","","3","","","","","",""
"3-4586_37963","3-7778036","836","Dublin, Millennium Spire - Corduff (Fingal), Cruiserath Road","","3","","","","","",""
"3-4586_46124","3-7778036","787","Ballymun, Travelodge Hotel - Dublin Airport","","3","","","","","",""
"3-4586_47272","3-7778036","870","O'Connell Street Upper - Damastown Ibm","","3","","","","","",""
"3-4586_74628","3-7778036","860","Aston Quay - Park West","","3","","","","","",""
"3-4586_92217","3-7778036","786","Dublin Airport Hilton Hotel - Dublin Airport","","3","","","","","",""
"3-4653_77790","3-7778101","191","Stamullen - Dublin City","","3","","","","","",""
"3-4661_98303","3-7778352","853","Dublin Port - Dublin City","","3","","","","","",""
"3-4689_99517","3-7778363","Mb01","Ballymore - Moate","","3","","","","","",""
"3-4822_107107","3-7778239","Um04","Wexford - Maynooth","","3","","","","","",""
"3-4835_107432","3-7778249","Ai01","Longford - Athlone","","3","","","","","",""
"3-4836_107433","3-7778487","Dk08","Ardee - Dundalk Institute of Technology","","3","","","","","",""
"3-4847_107435","3-7778254","Um08","Dundrum - Maynooth University","","3","","","","","",""
"3-4859_94420","3-7778352","Kl04","Tyrrelstown - Keelings Flowers Food Central","","3","","","","","",""
"3-4859_94421","3-7778352","Kl01","Phibsborough - Keelings Retail Uc","","3","","","","","",""
"3-4860_107594","3-7778246","Ul05","Westport - Limerick","","3","","","","","",""
