"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"3-700000014230","0","Park & Ride Glenshane Rd","","54.836019","-6.682173","","","0","","Europe/London","0","",""
"3-701000002","12537","Derry Patrick Street","","54.99998","-7.32234","","","0","","Europe/London","0","",""
"3-701000006","13224","Drumahoe Park and Ride","","54.97452","-7.25841","","","0","","Europe/London","0","",""
"3-701000007","13225","Derry Foyleside","","54.994101","-7.317331","","","0","","Europe/London","0","",""
"3-7010B158131","158131","Ulsterbus Depot","","54.996629","-7.317866","","","0","","Europe/London","0","",""
"3-7010B158241","158241","Magee Campus","","55.002956","-7.322545","","","0","","Europe/London","0","",""
"3-702000001","13226","Belfast International Airport","","54.662443","-6.217877","","","0","","Europe/London","0","",""
"3-702000015422","0","Europa Bus Centre","","54.595054","-5.936268","","","0","","Europe/London","0","",""
"3-70200B156091","156091","Glengall Street","","54.595088","-5.937195","","","0","","Europe/London","0","",""
"3-7020IR0037","0","Lisburn","","54.513863","-6.045132","","","0","3-7020IR0037-P","Europe/London","0","",""
"3-7020IR2162","0","Belfast","","54.594684","-5.939831","","","0","","Europe/London","0","",""
"3-7040B107131","107131","Cullaville","","54.062045","-6.643525","","","0","","Europe/London","0","",""
"3-7040B139481","139481","Newry","","54.168253","-6.339098","","","0","","Europe/London","0","",""
"3-7040B139491","139491","Buttercrane Shopping Centre","","54.172871","-6.340996","","","0","","Europe/London","0","",""
"3-7040B139501","139501","Newry","","54.172227","-6.340441","","","0","","Europe/London","0","",""
"3-7040B139511","139511","Newry (Opp Quay Shopping Centre)","","54.168692","-6.339019","","","0","","Europe/London","0","",""
"3-7040B139761","139761","Killeen Bridge","","54.131009","-6.346082","","","0","","Europe/London","0","",""
"3-7040B139771","139771","Killeen Bridge","","54.131023","-6.346479","","","0","","Europe/London","0","",""
"3-7040B139781","139781","Meigh Cross","","54.115863","-6.357129","","","0","","Europe/London","0","",""
"3-7040B139791","139791","Meigh Cross (Service Station)","","54.115892","-6.357279","","","0","","Europe/London","0","",""
"3-7040B150611","150611","Southern Regional College","","54.176486","-6.34535","","","0","","Europe/London","0","",""
"3-7040B156051","156051","Newry","","54.176002","-6.339467","","","0","","Europe/London","0","",""
"3-7040B156061","156061","Newry Bus Station","","54.174999","-6.340145","","","0","","Europe/London","0","",""
"3-7040IR0042","0","Newry","","54.188659","-6.362413","","","0","3-7040IR0042-P","Europe/London","0","",""
"3-7040IR0045","0","Portadown","","54.424993","-6.445312","","","0","3-7040IR0045-P","Europe/London","0","",""
"3-7040IR0090","0","Lurgan","","54.467011","-6.338528","","","0","3-7040IR0090-P","Europe/London","0","",""
"3-7050B108081","108081","Enniskillen","","54.343694","-7.640079","","","0","","Europe/London","0","",""
"3-7050B140871","140871","Derrylin","","54.191672","-7.565929","","","0","","Europe/London","0","",""
"3-7050B1409001","140901","Bellanaleck","","54.295005","-7.638015","","","0","","Europe/London","0","",""
"3-7050B141541","141541","Belleek","","54.476171","-8.094502","","","0","","Europe/London","0","",""
"3-7050B1415501","141551","Bellanaleck","","54.295058","-7.63783","","","0","","Europe/London","0","",""
"3-7050B141561","141561","Derrylin","","54.191678","-7.565736","","","0","","Europe/London","0","",""
"3-7050B630091","630091","Letterbreen","","54.309287","-7.732686","","","0","","Europe/London","0","",""
"3-7050B630101","630101","Letterbreen","","54.309493","-7.732162","","","0","","Europe/London","0","",""
"3-7050B6310001","631001","Belcoo","","54.297258","-7.869896","","","0","","Europe/London","0","",""
"3-7050B631071","631071","Loughview Drive","","54.297374","-7.870114","","","0","","Europe/London","0","",""
"3-7060B152481","152481","Sion Mills","","54.784312","-7.471637","","","0","","Europe/London","0","",""
"3-7060B156031","156031","Ballygawley (Park and Ride Stop)","","54.456349","-7.033901","","","0","","Europe/London","0","",""
"3-7060B157111","157111","Newtownstewart","","54.721891","-7.372982","","","0","","Europe/London","0","",""
"3-7060B158031","158031","Ulsterbus Depot","","54.601343","-7.30175","","","0","","Europe/London","0","",""
"3-7060B1581001","158101","Newtownstewart","","54.721774","-7.373015","","","0","","Europe/London","0","",""
"3-7060B158121","158121","Bradley Way","","54.826507","-7.47009","","","0","","Europe/London","0","",""
"3-7060B1581401","158141","Sion Mills","","54.785779","-7.472348","","","0","","Europe/London","0","",""
"3-7060B158181","158181","Canal Street","","54.827746","-7.463786","","","0","","Europe/London","0","",""
"3-821000003","11344","Tullow South","","52.800986","-6.739633","","","0","","Europe/Dublin","0","",""
"3-821000004","11345","Tullow South","","52.80091","-6.73953","","","0","","Europe/Dublin","0","",""
"3-821000005","12324","Carlow Institute","","52.819132","-6.944939","","","0","","Europe/Dublin","0","",""
"3-821000006","12325","Carlow Institute","","52.819254","-6.94507","","","0","","Europe/Dublin","0","",""
"3-821000007","13227","Leighlinbridge","","52.736693","-6.975816","","","0","","Europe/Dublin","0","",""
"3-821000008","13228","Leighlinbridge","","52.7365","-6.97598","","","0","","Europe/Dublin","0","",""
"3-821000017","14131","Setu Green Road","","52.826438","-6.93572","","","0","","Europe/Dublin","0","",""
"3-821000018","13229","Saint Patrick's Park","","52.804379","-6.744251","","","0","","Europe/Dublin","0","",""
"3-821000019","11722","Carlow Station","","52.84068","-6.92294","","","0","","Europe/Dublin","0","",""
"3-8210000199","13608","Carlow College","","52.838603","-6.927199","","","0","","Europe/Dublin","0","",""
"3-821000020","11741","Carlow Station","","52.84082","-6.92283","","","0","","Europe/Dublin","0","",""
"3-821000022","13230","Bennekerry","","52.821734","-6.877851","","","0","","Europe/Dublin","0","",""
"3-8210B111621","111621","Saint Patrick's Avenue","","52.837124","-6.91467","","","0","","Europe/Dublin","0","",""
"3-8210B111891","111891","Sleaty Street","","52.844148","-6.939762","","","0","","Europe/Dublin","0","",""
"3-8210B1340201","134021","Hacketstown","","52.865375","-6.558453","","","0","","Europe/Dublin","0","",""
"3-8210B1340202","134022","Hacketstown","","52.86528","-6.558456","","","0","","Europe/Dublin","0","",""
"3-8210B136061","136061","Setu Carlow","","52.829981","-6.935975","","","0","","Europe/Dublin","0","",""
"3-8210B1360701","136071","Ballyknockan","","52.735531","-6.987098","","","0","","Europe/Dublin","0","",""
"3-8210B136211","136211","Rathvilly","","52.880551","-6.695562","","","0","","Europe/Dublin","0","",""
"3-8210B153991","153991","Tullow North","","52.80482","-6.732506","","","0","","Europe/Dublin","0","",""
"3-8210B154001","154001","Tullow North","","52.804658","-6.732496","","","0","","Europe/Dublin","0","",""
"3-8210B202101","202101","Wexford Road Business Park","","52.820615","-6.897133","","","0","","Europe/Dublin","0","",""
"3-8210B3355701","335571","Carlow Bus Station","","52.833738","-6.926948","","","0","","Europe/Dublin","0","",""
"3-8210B3355702","335572","Carlow Bus Station","","52.833679","-6.926913","","","0","","Europe/Dublin","0","",""
"3-8210B339081","339081","Ballyknockan","","52.738872","-6.985687","","","0","","Europe/Dublin","0","",""
"3-8210B3394301","339431","Royaloak","","52.704245","-6.984179","","","0","","Europe/Dublin","0","",""
"3-8210B3511401","351141","Rathvilly","","52.880629","-6.695287","","","0","","Europe/Dublin","0","",""
"3-8210B3511801","351181","Kildavin","","52.683916","-6.685386","","","0","","Europe/Dublin","0","",""
"3-8210B351711","351711","Ballon","","52.740188","-6.7704","","","0","","Europe/Dublin","0","",""
"3-8210B351721","351721","Ballon","","52.740087","-6.770225","","","0","","Europe/Dublin","0","",""
"3-8210B3555602","355562","Tullow Centre","","52.80311","-6.7359","","","0","","Europe/Dublin","0","",""
"3-8210B3555603","355563","Tullow Centre","","52.802936","-6.73618","","","0","","Europe/Dublin","0","",""
"3-8210B5981201","598121","Setu Carlow","","52.830054","-6.936121","","","0","","Europe/Dublin","0","",""
"3-8210CO11092","11092","Carraig Abhainn","","52.825857","-6.937188","","","0","","Europe/Dublin","0","",""
"3-8210CO11093","110931","Bourlum Wood","","52.823409","-6.935764","","","0","","Europe/Dublin","0","",""
"3-8210CO11094","110941","Setu Green Road","","52.825497","-6.934096","","","0","","Europe/Dublin","0","",""
"3-8210CO11095","110951","New Street","","52.829729","-6.93095","","","0","","Europe/Dublin","0","",""
"3-8210CO11096","110961","Hanover Road","","52.831403","-6.929143","","","0","","Europe/Dublin","0","",""
"3-8210CO11097","11097","Hanover Bus Park","","52.833674","-6.926876","","","0","","Europe/Dublin","0","",""
"3-8210CO11098","110981","Fire Station","","52.83703","-6.92286","","","0","","Europe/Dublin","0","",""
"3-8210CO11099","110991","Green Lane","","52.841239","-6.917605","","","0","","Europe/Dublin","0","",""
"3-8210CO11100","111001","Deerpark Roundabout","","52.845026","-6.910029","","","0","","Europe/Dublin","0","",""
"3-8210CO11101","111011","Enterprise Business Park","","52.840432","-6.909015","","","0","","Europe/Dublin","0","",""
"3-8210CO11102","201041","Sandhills","","52.839602","-6.904687","","","0","","Europe/Dublin","0","",""
"3-8210CO11103","201051","Burrindale","","52.841719","-6.902289","","","0","","Europe/Dublin","0","",""
"3-8210CO11104","111041","Beechwood Park","","52.844729","-6.899318","","","0","","Europe/Dublin","0","",""
"3-8210CO11105","201061","Tinteán Coille","","52.846753","-6.895674","","","0","","Europe/Dublin","0","",""
"3-8210CO11106","201111","MSD Carlow","","52.854254","-6.884615","","","0","","Europe/Dublin","0","",""
"3-8210CO11108","111231","Tinteán Coille","","52.846705","-6.89526","","","0","","Europe/Dublin","0","",""
"3-8210CO11109","111091","Beechwood Park","","52.844924","-6.898986","","","0","","Europe/Dublin","0","",""
"3-8210CO11110","111101","Burrindale","","52.84195","-6.902001","","","0","","Europe/Dublin","0","",""
"3-8210CO11111","111241","Sandhills","","52.839411","-6.907423","","","0","","Europe/Dublin","0","",""
"3-8210CO11112","111121","Enterprise Business Park","","52.840884","-6.909271","","","0","","Europe/Dublin","0","",""
"3-8210CO11113","111131","Deerpark Roundabout","","52.844784","-6.910183","","","0","","Europe/Dublin","0","",""
"3-8210CO11114","111141","Green Lane","","52.84178","-6.916849","","","0","","Europe/Dublin","0","",""
