"table_name","field_name","language","translation","record_id","record_sub_id","field_value"
"agency","agency_name","ga","Nasc Áitiúil TFI Maigh Eo","3-7778161","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Ciarraí","3-7778162","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Corcaigh","3-7778163","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Gaillimh","3-7778164","",""
"agency","agency_name","ga","Nasc Áitiúil TFI An Longfort An Iarmhí Ros Comáin","3-7778165","",""
"agency","agency_name","ga","Nasc Áitiúil TFI An Cabhán Muineachán","3-7778166","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Tiobraid Árann","3-7778167","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Port Láirge","3-7778168","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Loch Garman","3-7778169","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Lú An Mhí Fine Gall","3-7778170","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Ceatharlach Cill Chainnigh Cill Mhantáin","3-7778171","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Laois Uíbh Fhailí","3-7778172","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Luimneach An Clár","3-7778173","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Dún na ngall Sligeach Liatroim","3-7778174","",""
"agency","agency_name","ga","Nasc Áitiúil TFI Cill Dara Baile Átha Cliath Theas","3-7778312","",""
"routes","route_long_name","ga","Gaillimh - Baile Locha Riach","3-5059_113137","",""
"routes","route_long_name","ga","Cúil an tsúdaire - Mainistir Eimhín","3-5315_121001","",""
"routes","route_long_name","ga","Tulach Mhór - Baile Átha Luain","3-5315_121002","",""
"routes","route_long_name","ga","Maighean Rátha - Ceatharlach","3-5315_121003","",""
"routes","route_long_name","ga","Biorra - Port Laoise","3-5315_121004","",""
"routes","route_long_name","ga","Ros Cré - Port Laoise","3-5315_121006","",""
"routes","route_long_name","ga","Beannchar - Tulach Mhór","3-5315_121007","",""
"routes","route_long_name","ga","Baile Átha Luain - Durlas","3-5315_121008","",""
"routes","route_long_name","ga","Durlas - Port Laoise","3-5315_121009","",""
"routes","route_long_name","ga","Buiríos Mór Osraí - Droim Cáithe","3-5315_121010","",""
"routes","route_long_name","ga","Tulach Mhór - Droim Cáithe","3-5315_121011","",""
"routes","route_long_name","ga","Luimneach - Inis","3-5354_122218","",""
"routes","route_long_name","ga","Luimneach - Inis","3-5354_122291","",""
"routes","route_long_name","ga","Luimneach - Inis","3-5354_122292","",""
"routes","route_long_name","ga","An tinbhear Mór - Gleann Dá Loch","3-5366_124676","",""
"routes","route_long_name","ga","An tinbhear Mór - Ceatharlach","3-5366_124677","",""
"routes","route_long_name","ga","Carraig na Siúire - Gráinseach Mhóicléir","3-5366_124678","",""
"routes","route_long_name","ga","Bealach Conglais - Na Solláin","3-5366_124679","",""
"routes","route_long_name","ga","Ceatharlach - Ros Mhic Thriúin","3-5366_124680","",""
"routes","route_long_name","ga","Fiodh Dúin - Cill Chainnigh","3-5366_124681","",""
"routes","route_long_name","ga","Na Solláin - Gleann Dá Loch","3-5366_124682","",""
"routes","route_long_name","ga","Cill Chainnigh - Baile Átha Í","3-5366_124683","",""
"routes","route_long_name","ga","Carn an Bhua - Bealach Conglais","3-5366_124684","",""
"routes","route_long_name","ga","Béal Átha Seanaidh - Leitir Ceanainn","3-5367_124712","",""
"routes","route_long_name","ga","Bealach Féich - Doire","3-5367_124713","",""
"routes","route_long_name","ga","Bealach Féich - Leitir Ceanainn","3-5367_124714","",""
"routes","route_long_name","ga","Dún na ngall - Béal Átha Seanaidh","3-5367_124715","",""
"routes","route_long_name","ga","Gleann Cholm Cille - Dún na ngall","3-5367_124716","",""
"routes","route_long_name","ga","Sligeach - Droim Dhá Thiar","3-5367_124717","",""
"routes","route_long_name","ga","An Muileann Iarainn - Cora Droma Rúisc","3-5367_124718","",""
"routes","route_long_name","ga","Sligeach - An Damhshraith","3-5367_124719","",""
"routes","route_long_name","ga","Cora Droma Rúisc - Cluainín","3-5367_124720","",""
"routes","route_long_name","ga","Béal an Átha Móir - Sligeach","3-5367_124721","",""
"routes","route_long_name","ga","Carn Domhnach - Doire","3-5367_124722","",""
"routes","route_long_name","ga","An Caisleán Nua - Leitir Ceanainn","3-5367_124723","",""
"routes","route_long_name","ga","Cionn Mhálanna - Carn Domhnach","3-5367_124724","",""
"routes","route_long_name","ga","An Caisleán Nua - Doire","3-5367_124725","",""
"routes","route_long_name","ga","An Caisleán Nua - Bun Cranncha","3-5367_124726","",""
"routes","route_long_name","ga","An Fál Carrach - An Clochán Liath","3-5367_124727","",""
"routes","route_long_name","ga","Baile na Finne - An Clochán Liath","3-5367_124728","",""
"routes","route_long_name","ga","Ailt an Chorráin - Leitir Ceanainn","3-5367_124729","",""
